employee_id,department,salary,tenure,satisfaction_level,last_evaluation,number_project,average_monthly_hours,promotion_last_5years,left,risk_score,risk_band,risk_reasons,recommended_interventions
EMP06078,support,low,4,0.15,0.9,5,284,0,0,82.93,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP10286,product_mng,low,4,0.16,0.97,6,282,0,0,82.2,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP10029,technical,low,5,0.43,0.84,2,285,0,0,81.74,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP05205,sales,medium,4,0.17,0.91,2,271,0,0,81.54,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP10997,randd,low,4,0.19,0.83,5,280,0,0,80.87,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP09520,it,low,6,0.27,0.85,2,277,0,0,80.83,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP08481,sales,low,5,0.25,0.98,6,287,0,0,80.57,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP02180,support,low,5,0.18,0.8,2,110,0,0,79.6,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.']"
EMP05832,technical,low,4,0.15,0.91,5,267,0,0,79.29,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP06181,marketing,low,3,0.15,0.91,6,281,0,0,78.29,High,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.', 'Review pay against the role and market, and pair the conversation with recognition or other rewards where a change is not immediate.', 'Benchmark compensation for the role and explain the path for future pay progression as clearly as possible.', 'Consider a compensation review alongside recognition, bonus eligibility, flexibility, or development opportunities.']"
EMP02467,technical,low,4,0.32,0.42,2,99,0,0,78.15,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.']"
