employee_id,department,salary,tenure,satisfaction_level,last_evaluation,number_project,average_monthly_hours,promotion_last_5years,left,risk_score,risk_band,risk_reasons
EMP00001,sales,low,3,0.38,0.53,2,157,0,1,59.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00002,sales,medium,6,0.8,0.86,5,262,0,1,39.71,Medium,"['No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00003,sales,medium,4,0.11,0.88,7,272,0,1,83.56,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00004,sales,low,5,0.72,0.87,5,223,0,1,46.4,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00005,sales,low,3,0.37,0.52,2,159,0,1,59.9,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00006,sales,low,3,0.41,0.5,2,153,0,1,58.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00007,sales,low,4,0.1,0.77,6,247,0,1,66.5,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00008,sales,low,5,0.92,0.85,5,259,0,1,44.47,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00009,sales,low,5,0.89,1.0,5,224,0,1,41.3,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00010,sales,low,3,0.42,0.53,2,142,0,1,60.4,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00011,sales,low,3,0.45,0.54,2,135,0,1,61.25,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00012,sales,low,4,0.11,0.81,6,305,0,1,88.63,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00013,sales,low,5,0.84,0.92,4,234,0,1,34.8,Low,[]
EMP00014,sales,low,3,0.41,0.55,2,148,0,1,59.2,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00015,sales,low,3,0.36,0.56,2,137,0,1,63.45,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00016,sales,low,3,0.38,0.54,2,143,0,1,61.35,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00017,sales,low,3,0.45,0.47,2,160,0,1,57.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00018,sales,low,6,0.78,0.99,4,255,0,1,35.81,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP00019,sales,low,3,0.45,0.51,2,160,1,1,47.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Below-market / low compensation band']"
EMP00020,sales,low,5,0.76,0.89,5,262,0,1,49.91,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00021,sales,low,4,0.11,0.83,6,282,0,1,83.7,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00022,sales,low,3,0.38,0.55,2,147,0,1,60.35,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00023,sales,low,4,0.09,0.95,6,304,0,1,89.01,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00024,sales,low,3,0.46,0.57,2,139,0,1,59.95,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00025,sales,low,3,0.4,0.53,2,158,0,1,59.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00026,sales,low,5,0.89,0.92,5,242,0,1,41.73,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00027,sales,low,5,0.82,0.87,4,239,0,1,35.4,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00028,sales,low,3,0.4,0.49,2,135,0,1,62.75,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00029,accounting,low,3,0.41,0.46,2,128,0,1,64.2,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00030,accounting,low,3,0.38,0.5,2,132,0,1,64.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00031,accounting,low,4,0.09,0.62,6,294,0,1,76.87,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00032,hr,low,3,0.45,0.57,2,134,0,1,61.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00033,hr,low,3,0.4,0.51,2,145,0,1,60.25,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00034,hr,low,3,0.45,0.55,2,140,0,1,60.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00035,hr,low,6,0.84,0.87,4,246,0,1,32.09,Low,[]
EMP00036,technical,low,4,0.1,0.94,6,255,0,1,78.21,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00037,technical,low,3,0.38,0.46,2,137,0,1,62.85,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00038,technical,low,3,0.45,0.5,2,126,0,1,63.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00039,technical,low,4,0.11,0.89,6,306,0,1,88.84,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00040,technical,low,3,0.41,0.54,2,152,0,1,58.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00041,technical,low,5,0.87,0.88,5,269,0,1,48.11,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
